#;ASN, Organization name;Country;Detected IP addresses;Spam active IP addresses;Spam rate
1;AS4134 Chinanet;China;2010190;629363;31,31
6;AS4837 CHINA UNICOM China169 Backbone;China;659691;202892;30,76
18;AS9808 China Mobile Communications Group Co., Ltd.;China;370894;187168;50,46
31;AS36352 AS-COLOCROSSING;United States;239467;170085;71,03
5;AS8048 CANTV Servicios, Venezuela;Venezuela;691596;161147;23,30
4;AS14618 AMAZON-AES;United States;1175774;125066;10,64
29;AS28573 Claro NXT Telecomunicacoes Ltda;Brazil;243757;99148;40,67
23;AS12389 Rostelecom;Russia;303091;78369;25,86
91;AS55286 SERVER-MANIA;Canada;90096;71761;79,65
2;AS16509 AMAZON-02;United States;1970036;71737;3,64
64;AS9737 TOT Public Company Limited;Thailand;132645;64425;48,57
30;AS7713 PT Telekomunikasi Indonesia;Indonesia;241392;64055;26,54
40;AS17974 PT Telekomunikasi Indonesia;Indonesia;181756;58588;32,23
16;AS45899 VNPT Corp;Vietnam;392392;56553;14,41
11;AS16276 OVH SAS;France;455847;50900;11,17
88;AS8100 ASN-QUADRANET-GLOBAL;United States;92488;50089;54,16
12;AS20940 Akamai International B.V.;Netherlands;446690;46504;10,41
48;AS3462 Data Communication Business Group;Taiwan;154524;42851;27,73
10;AS14061 DIGITALOCEAN-ASN;United States;464254;40796;8,79
67;AS5617 Orange Polska Spolka Akcyjna;Poland;113165;38653;34,16
66;AS45629 JasTel Network International Gateway;Thailand;113916;38405;33,71
94;AS9009 M247 Ltd;Romania;86198;38121;44,22
131;AS61317 Ipxo Uk Limited;Chile;57795;35952;62,21
121;AS37518 FIBERGRID;Seychelles;61619;35829;58,15
59;AS174 COGENT-174;United States;140324;34960;24,91
37;AS8452 TE-AS;Egypt;190949;34426;18,03
177;AS42682 JSC ER-Telecom Holding;Russia;40810;30026;73,58
80;AS6697 Republican Unitary Telecommunication Enterprise Beltelecom;Belarus;102073;29691;29,09
26;AS206150 Ipxo Limited;Germany;253112;29011;11,46
3;AS7922 COMCAST-7922;United States;1805919;28575;1,58
57;AS4608 Asia Pacific Network Information Centre;Australia;145050;28209;19,45
108;AS62904 AS62904;United States;70379;27966;39,74
115;AS46261 QUICKPACKET;United States;64768;27669;42,72
20;AS15169 GOOGLE;United States;316740;25978;8,20
36;AS17557 Pakistan Telecommunication Company Limited;Pakistan;193057;25218;13,06
61;AS7552 Viettel Group;Vietnam;136277;25174;18,47
82;AS17552 True Online;Thailand;97764;24234;24,79
51;AS18403 FPT Telecom Company;Vietnam;151909;23613;15,54
56;AS20473 AS-CHOOPA;United States;145594;23470;16,12
50;AS4766 Korea Telecom;South Korea;153668;23303;15,17
120;AS23969 TOT Public Company Limited;Thailand;61928;23260;37,56
162;AS131090 CAT TELECOM Public Company Ltd,CAT;Thailand;45809;22879;49,94
90;AS15895 Kyivstar PJSC;Ukraine;90973;22234;24,44
55;AS9829 National Internet Backbone;India;145906;21861;14,98
104;AS18881 TELEFONICA BRASIL S.A;Brazil;75491;21513;28,50
75;AS9121 Turk Telekom;Turkey;105126;21108;20,08
202;AS11888 Television Internacional, S.A. de C.V.;Mexico;31884;20673;64,84
174;AS60781 LeaseWeb Netherlands B.V.;Netherlands;41416;19014;45,91
21;AS13335 CLOUDFLARENET;United States;310985;18939;6,09
116;AS12479 Orange Espagne SA;France;64655;18832;29,13
7;AS37963 Hangzhou Alibaba Advertising Co.,Ltd.;Singapore;557957;18639;3,34
13;AS209 CENTURYLINK-US-LEGACY-QWEST;United States;441868;18214;4,12
47;AS9299 Philippine Long Distance Telephone Company;Philippines;161455;17907;11,09
243;AS203020 HostRoyale Technologies Pvt Ltd;Romania;25412;17432;68,60
147;AS4808 China Unicom Beijing Province Network;China;51341;16748;32,62
70;AS36947 Telecom Algeria;Algeria;109862;16606;15,12
247;AS24955 JSC Ufanet;Russia;25105;15327;61,05
330;AS57858 Inter Connects Inc;Estonia;17040;15170;89,03
33;AS24940 Hetzner Online GmbH;Germany;212890;15155;7,12
83;AS24560 Bharti Airtel Ltd., Telemedia Services;India;97514;14904;15,28
350;AS43624 Pq Hosting S.r.l.;Russia;15823;14580;92,14
76;AS36903 MT-MPLS;Morocco;104604;14047;13,43
149;AS6849 PJSC Ukrtelecom;Ukraine;50986;14016;27,49
178;AS3216 PVimpelCom;Russia;40102;13964;34,82
52;AS8075 MICROSOFT-CORP-MSN-AS-BLOCK;United States;150566;13951;9,27
118;AS9198 JSC Kazakhtelecom;Kazakhstan;63909;13950;21,83
34;AS395954 LEASEWEB-USA-LAX;United States;208473;13741;6,59
129;AS8402 PVimpelCom;Russia;58734;13537;23,05
180;AS4812 China Telecom Group;China;39357;13068;33,20
81;AS45090 Shenzhen Tencent Computer Systems Company Limited;China;101476;12742;12,56
287;AS17451 BIZNET NETWORKS;Indonesia;19784;12268;62,01
348;AS63119 Inter Connects Inc;United States;15948;12265;76,91
28;AS4788 TM Net, Internet Service Provider;Malaysia;247491;12031;4,86
144;AS7643 Vietnam Posts and Telecommunications VNPT;Vietnam;52411;11763;22,44
317;AS53667 PONYNET;United States;17728;11384;64,22
135;AS8708 RCS & RDS;Romania;55947;11253;20,11
200;AS46805 Inter Connects Inc;Sweden;34165;11168;32,69
125;AS8151 Uninet S.A. de C.V.;Mexico;60695;10598;17,46
114;AS12876 Online S.a.s.;France;65243;10556;16,18
97;AS17816 China Unicom IP network China169 Guangdong province;China;83804;10089;12,04
183;AS60068 Datacamp Limited;United Kingdom;37918;9970;26,29
360;AS20278 NEXEON;United States;15281;9919;64,91
14;AS55836 Reliance Jio Infocomm Limited;India;398638;9899;2,48
17;AS18779 EGIHOSTING;United States;391704;9856;2,52
86;AS35913 DEDIPATH-LLC;Germany;93570;9443;10,09
44;AS45102 Alibaba US Technology Co., Ltd.;United States;165293;8645;5,23
161;AS3269 Telecom Italia;Italy;46130;8604;18,65
15;AS7018 ATT-INTERNET4;United States;392910;8553;2,18
432;AS397731 ELITEWORK-01;United States;11735;8531;72,70
156;AS7303 Telecom Argentina S.A.;Argentina;47843;8495;17,76
